name,score,soft_score,char_count,wall_seconds,tok_per_sec,has_theorem,has_by,has_function,has_lean_keyword,has_lean_codeblock,lean_keyword_count,imports,unicode_nat,ends_with_keyword,output
add_zero,1,2,145,2.46,103.985,False,True,False,True,True,7,2,True,False,"```lean4\nimport Mathlib.Data.Nat.Basic\nimport Mathlib.Tactic.Basic\ntheorem n + 0 = n : ∀ (n : ℕ), n + 0 = n := by\n  intro n r\n  exact rfl\nend\n```"
zero_add,1,3,90,1.47,174.405,True,True,False,True,True,4,1,False,False,"```lean4\nimport Mathlib\n\ntheorem zero_add : ∀ n : Nat, 0 + n = n := by\n  intro n\n  rfl\n```"
add_comm,1,2,319,3.09,82.898,True,False,False,True,True,5,1,True,False,Here is the proof of commutativity of natural number addition in Lean 4:\n\n```lean4\nimport Mathlib\ntheorem comm_add_lemma (n m : ℕ): n + m = m + n := Nat.add_comm n m\n```\n\nThis code proves commutativity by directly applying `Nat.add_comm`. The `Theorem tactic handles this. Let The main approximation correspond to this.
add_assoc,1,2,241,4.18,61.183,False,True,False,True,True,5,2,True,False,```lean\nimport Mathlib\nimport Lean\n\nopen Nat\n\ntheoremassociativity(nat1){$nat1$}{$associativity$}{$base8$}{$ }}(a b c:ℕ):(a + b) + c = a + (b + c):=by\n  have h(a b c:ℕ):(a + b) + c = a + (b + c):=by\n    induction c<;>simp [<-]\n  simp_all\n```
mul_one,1,3,96,1.75,146.583,True,True,False,True,True,3,1,True,False,```lean4\nimport Mathlib\n\ntheorem n_mul_one_eq_n (n : ℕ) : n * 1 = n := by\n  rw [Nat.mul_one]\n```
one_mul,2,3,103,1.62,158.165,True,True,False,True,True,3,1,True,False,Here is the Lean 4 proof:\n```lean\nimport Mathlib\ntheorem one_mul_n (n : ℕ) : 1 * n = n := by\n  simp\n```
mul_zero,1,3,115,1.8,142.101,True,True,False,True,True,6,2,False,False,"```lean4\nimport Mathlib\nimport Mathlib.Data.Nat.Basic\ntheorem Simplest : ∀ n : Nat,n * 0 = 0 := by\nintro n\nsimp\n```"
mul_comm,0,1,98,1.69,151.108,False,False,False,True,True,3,1,True,False,"```lean4\nimport Mathlib\ntheorem nat.mul_comm : ∀ (a b : ℕ), a * b = b * a := Nat.mul_comm\n\nend\n```"
le_refl,1,3,136,1.97,130.112,True,True,False,True,True,5,2,True,False,"Sure! Here is the Lean 4 code:\n```lean\nimport Mathlib\nimport Mathlib\ntheorem reflexive_le : ∀n : ℕ, n ≤ n := by\nintro n\nexact le_rfl\n```"
le_trans,0,3,161,2.37,107.911,False,True,True,True,True,7,0,True,False,```lean\ntheorem Nat.le_trans {a b c : ℕ} : a ≤ b → b ≤ c → a ≤ c := by\n  exact (Nat.le_trans a_le_b b_le_c)\nend\ndef main : IO Unit := do\n  exact Nat.le_trans\n```
