name,score,soft_score,char_count,wall_seconds,tok_per_sec,has_theorem,has_by,has_function,has_lean_keyword,has_lean_codeblock,lean_keyword_count,imports,unicode_nat,ends_with_keyword,output
add_zero,2,3,147,1.25,205.302,True,True,False,True,True,3,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem add_zero (n : ℕ) : n + 0 = n := by rfl\n```
zero_add,2,3,148,0.86,298.596,True,True,False,True,True,3,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem zero_add (n : ℕ) : 0 + n = n := by simp\n```
add_comm,2,3,254,1.46,174.924,True,True,False,True,True,6,2,True,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem add_comm (a b : ℕ) : a + b = b + a := by\n  induction a with\n  | zero =>\n    simp\n  | succ a ih =>\n    rw [Nat.add_succ, Nat.succ_add]\n    rw [ih]\n```"
add_assoc,2,3,263,1.57,163.293,True,True,False,True,True,5,2,True,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem add_assoc (a b c : ℕ) : (a + b) + c = a + (b + c) := by\n  induction c with\n  | zero =>\n    simp\n  | succ c ih =>\n    simp [add_succ, succ_add]\n    rw [ih]\n```"
mul_one,0,2,169,0.99,257.671,False,True,False,True,True,3,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem mul_one_eq_self {n : ℕ} : n * 1 = n := by\n  rw [Nat.mul_one]\n```
one_mul,1,3,187,1.17,218.137,True,True,False,True,True,4,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem one_mul (n : ℕ) : 1 * n = n := by\n  rw [mul_comm]\n  rw [Nat.mul_one]\n  <;> rfl\n```
mul_zero,1,3,169,1.05,244.809,True,True,False,True,True,4,2,True,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem mul_zero_eq_zero : ∀ n : ℕ, n * 0 = 0 := by\n  intro n\n  simp\n```"
mul_comm,1,2,111,0.76,335.825,True,False,False,True,True,3,2,False,False,"```lean4\nimport Mathlib\nimport Aesop\nopen Nat\ntheorem mul_comm : ∀ a b : Nat, a * b = b * a := Nat.mul_comm\n```"
le_refl,1,3,98,0.67,384.744,True,True,False,True,True,4,1,True,False,```lean4\nimport Mathlib\n\ntheorem reflexivity_of_le (n : ℕ) : n ≤ n := by\n  exact Nat.le_refl n\n```
le_trans,1,3,214,1.31,195.827,True,True,False,True,True,5,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem transitivity_of_le (a b c : ℕ) : a ≤ b → b ≤ c → a ≤ c := by\n  intro hxy hyz\n  exact Nat.le_trans hxy hyz\n```
zero_le,1,3,147,0.93,274.112,True,True,False,True,True,3,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem zero_le_n (n : ℕ) : 0 ≤ n := by\n  simp\n```
lt_succ_self,1,3,183,1.19,214.838,True,True,False,True,True,5,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem less_than_succ (n : ℕ) : n < n + 1 := by\n  apply Nat.lt_succ_iff.mpr\n  rfl\n```
